year,class,emirate,nationality,guests,nights
1994,5 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1994,4 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1994,3 star , Ajman and Umm Al-Qiwain,Yemen,0,0
1994,2 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1994,5 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1994,4 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1994,3 star ,  Ras Al Khaima & Fujeira ,Yemen,0,0
1994,2 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1993,5 star,abu dhabi,Yemen,302,867
1993,4 star,abu dhabi,Yemen,664,2847
1993,3 star ,abu dhabi,Yemen,139,265
1993,2 star,abu dhabi,Yemen,0,0
1993,5 star,dubai,Yemen,318,677
1993,4 star,dubai,Yemen,155,347
1993,3 star ,dubai,Yemen,493,758
1993,2 star,dubai,Yemen,1539,3222
1993,5 star,sharjah,Yemen,3285,5401
1993,4 star,sharjah,Yemen,240,1358
1993,3 star ,sharjah,Yemen,0,0
1993,2 star,sharjah,Yemen,0,0
1993,5 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1993,4 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1993,3 star , Ajman and Umm Al-Qiwain,Yemen,0,0
1993,2 star, Ajman and Umm Al-Qiwain,Yemen,0,0
1993,5 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1993,4 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1993,3 star ,  Ras Al Khaima & Fujeira ,Yemen,0,0
1993,2 star,  Ras Al Khaima & Fujeira ,Yemen,0,0
1992,5 star,abu dhabi,Yemen,330,780
1992,4 star,abu dhabi,Yemen,592,2633
1992,3 star ,abu dhabi,Yemen,139,161
1992,2 star,abu dhabi,Yemen,0,0
1992,5 star,dubai,Yemen,185,567
1992,4 star,dubai,Yemen,131,625
1992,3 star ,dubai,Yemen,255,406
1992,2 star,dubai,Yemen,2700,4914
1992,5 star,sharjah,Yemen,1500,2814
