year,class,item,emirate,nationality,value
1989,5 star,nights,Ras Al Khaima & Fujeira,India,0
1989,4 star,guests,Ras Al Khaima & Fujeira,India,0
1989,4star,nights,Ras Al Khaima & Fujeira,India,0
1989,3 star,guests,Ras Al Khaima & Fujeira,India,0
1989,3 star,nights,Ras Al Khaima & Fujeira,India,0
1989,2 star,guests,Ras Al Khaima & Fujeira,India,0
1989,2 star,nights,Ras Al Khaima & Fujeira,India,0
1988,5 star,guests,abu dhabi,India,5277
1988,5 star,nights,abu dhabi,India,8071
1988,4 star,guests,abu dhabi,India,4035
1988,4star,nights,abu dhabi,India,10423
1988,3 star,guests,abu dhabi,India,0
1988,3 star,nights,abu dhabi,India,0
1988,2 star,guests,abu dhabi,India,0
1988,2 star,nights,abu dhabi,India,0
1988,5 star,guests,dubai,India,9662
1988,5 star,nights,dubai,India,20444
1988,4 star,guests,dubai,India,37434
1988,4star,nights,dubai,India,73273
1988,3 star,guests,dubai,India,9796
1988,3 star,nights,dubai,India,27715
1988,2 star,guests,dubai,India,2167
1988,2 star,nights,dubai,India,4110
1988,5 star,guests,sharjah,India,2366
1988,5 star,nights,sharjah,India,8059
1988,4 star,guests,sharjah,India,2813
1988,4star,nights,sharjah,India,14250
1988,3 star,guests,sharjah,India,0
1988,3 star,nights,sharjah,India,0
1988,2 star,guests,sharjah,India,0
1988,2 star,nights,sharjah,India,0
1988,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1988,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1988,4 star,guests,Ajman and Umm Al-Qiwain,India,0
1988,4star,nights,Ajman and Umm Al-Qiwain,India,0
1988,3 star,guests,Ajman and Umm Al-Qiwain,India,0
1988,3 star,nights,Ajman and Umm Al-Qiwain,India,0
1988,2 star,guests,Ajman and Umm Al-Qiwain,India,0
1988,2 star,nights,Ajman and Umm Al-Qiwain,India,0
1988,5 star,guests,Ras Al Khaima & Fujeira,India,0
1988,5 star,nights,Ras Al Khaima & Fujeira,India,0
1988,4 star,guests,Ras Al Khaima & Fujeira,India,0
1988,4star,nights,Ras Al Khaima & Fujeira,India,0
1988,3 star,guests,Ras Al Khaima & Fujeira,India,0
1988,3 star,nights,Ras Al Khaima & Fujeira,India,0
1988,2 star,guests,Ras Al Khaima & Fujeira,India,0
1988,2 star,nights,Ras Al Khaima & Fujeira,India,0
1987,5 star,guests,abu dhabi,India,3477
1987,5 star,nights,abu dhabi,India,4980
1987,4 star,guests,abu dhabi,India,5556
1987,4star,nights,abu dhabi,India,11529
1987,3 star,guests,abu dhabi,India,0
1987,3 star,nights,abu dhabi,India,0
1987,2 star,guests,abu dhabi,India,0
1987,2 star,nights,abu dhabi,India,0
1987,5 star,guests,dubai,India,16951
1987,5 star,nights,dubai,India,27350
1987,4 star,guests,dubai,India,35764
1987,4star,nights,dubai,India,69859
1987,3 star,guests,dubai,India,7663
1987,3 star,nights,dubai,India,20564
1987,2 star,guests,dubai,India,663
1987,2 star,nights,dubai,India,1868
1987,5 star,guests,sharjah,India,3185
1987,5 star,nights,sharjah,India,10141
1987,4 star,guests,sharjah,India,2241
1987,4star,nights,sharjah,India,14462
1987,3 star,guests,sharjah,India,0
1987,3 star,nights,sharjah,India,0
1987,2 star,guests,sharjah,India,0
1987,2 star,nights,sharjah,India,0
1987,5 star,guests,Ajman and Umm Al-Qiwain,India,0
1987,5 star,nights,Ajman and Umm Al-Qiwain,India,0
1987,4 star,guests,Ajman and Umm Al-Qiwain,India,0
